radius_type,r_in_px,r_out_px,r_mid_px,r_mid_arcsec,n_pix,img_median,img_mean,img_std,model_median,model_mean,model_std,resid_raw_median,resid_raw_mean,resid_raw_std,resid_clip_median,resid_clip_mean,resid_clip_std,science_resid_name,science_model_name
ellipse,1504.091721759479,1579.296307847453,1541.694014803466,48.14171370789896,295498,1.9612753968002385,2.062795188951396,2.107617447926352,1.950218677520752,1.9499891591416278,0.07662387639843393,0.009254908668954065,0.1128060298097678,2.1068358146250943,0.0092549086548388,0.08799638507769318,0.47209812481052027,resid_full_clip_3p5sigma,model_full
ellipse,1579.296307847453,1654.500893935427,1616.8986008914399,50.490089986333054,252264,1.8259653725701916,1.8947399529358782,0.5302292202755516,1.7043640613555908,1.7032509062483978,0.06722737097737339,0.12258181378239508,0.19148904668748026,0.5308066299624671,0.12258181348443031,0.18728452413424335,0.46577719398661543,resid_full_clip_3p5sigma,model_full
ellipse,1654.500893935427,1729.705480023401,1692.103186979414,52.838466264767156,218466,1.7187243570295183,1.7899113985018011,0.6750586179567323,1.4826361536979675,1.4830510789944065,0.05850858485699277,0.23660475091666955,0.3068603195073946,0.6758307839215321,0.2366047501564026,0.2958210067113804,0.47846024277453575,resid_full_clip_3p5sigma,model_full
ellipse,1729.705480023401,1804.9100661113748,1767.3077730673879,55.18684254320125,202828,1.6012807064218788,1.6461097178999304,0.4918253119755292,1.292576551437378,1.2931238367160591,0.05103422167665091,0.30852598838268896,0.3529858811838713,0.4901329883926703,0.3085259944200516,0.34888978206881577,0.4469406804905289,resid_full_clip_3p5sigma,model_full
circle,0.0,72.97316607072842,36.48658303536421,1.1393484166129475,16332,145.57742921798166,173.58797606354807,88.71161798902544,146.83546447753906,169.84048040690388,63.502951543803704,0.590104189255058,3.747495656644192,41.50403087775861,0.5901041924953461,0.04029691171269042,1.9758382696096393,resid_full_clip_3p5sigma,model_full
circle,72.97316607072842,145.94633214145685,109.45974910609263,3.4180452498388423,50188,71.46364207824158,73.79510903393168,16.834116123980504,71.33538818359375,73.74849113285889,16.521855392264214,0.18466605366446487,0.046617901072801414,3.7495380372801903,0.18466605246067047,0.09899092014756199,1.5542035864371575,resid_full_clip_3p5sigma,model_full
circle,145.94633214145685,218.91949821218526,182.43291517682104,5.696742083064737,83638,41.61210457899174,42.35458543652667,9.132287590624497,41.87188148498535,42.39475070489793,9.016630197838689,-0.10347489896987838,-0.04016526837125582,1.5418862305716887,-0.10347490012645721,-0.06914361755900136,1.2617800926293872,resid_full_clip_3p5sigma,model_full
circle,218.91949821218526,291.8926642829137,255.40608124754948,7.975438916290632,117124,26.379174869952664,27.077157194711667,5.820052934108441,26.395615577697754,27.080198831503836,5.6287941441562985,-0.06108205377176823,-0.0030416367921721685,1.2843094042916507,-0.06108205392956734,-0.02978355350278832,1.0854668765570008,resid_full_clip_3p5sigma,model_full
circle,291.8926642829137,364.86583035364214,328.3792473182779,10.254135749516529,150557,18.35943265701669,18.877304795466973,4.131656033989132,18.357385635375977,18.84871738034295,3.938799710673044,-0.04004036782094467,0.028587415124023657,1.1294717728822912,-0.04004036635160446,0.005805011559940866,0.9286883905804008,resid_full_clip_3p5sigma,model_full
circle,364.86583035364214,437.8389964243705,401.3524133890063,12.532832582742422,184017,13.582151816257372,14.065500186747984,3.3396460031066066,13.618413925170898,14.069549553908049,3.138464517523817,-0.08290950136003516,-0.004049367160063693,1.117542056131497,-0.08290950208902359,-0.027465665718999457,0.8213464033334476,resid_full_clip_3p5sigma,model_full
