galaxy,ring,psf_id,k,E,N
NGC 1380,inner,stpsf_field_1024_768,0.6486792853571408,0.00020520246667857882,0.06716805809018728
NGC 1380,inner,stpsf_field_1024_768,0.6576265858448256,0.00019477951678786065,0.06589860526702823
NGC 1380,inner,stpsf_field_1024_768,0.6665738863325104,0.00019178782493838237,0.0693031111731882
NGC 1380,inner,stpsf_field_1024_768,0.6755211868201949,0.0001891396433563655,0.06546594011744353
NGC 1380,inner,stpsf_field_1024_768,0.6844684873078797,0.00018790559550371598,0.06055386237466695
NGC 1380,inner,stpsf_field_1024_768,0.6934157877955645,0.00019044440053415213,0.06239706286447422
NGC 1380,inner,stpsf_field_1024_768,0.702363088283249,0.00019177881604813893,0.06384012164012325
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.004474406866516569,0.9140763620796813,17.372791566947843
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.013423220599549706,0.8189512266735375,8.426136569208392
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.022372034332582842,0.7468730408094262,4.188058374972115
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.03132084806561598,0.684986608153329,3.2121831781424466
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.04026966179864912,0.6377632526609323,2.776923347255595
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.04921847553168225,0.593336746373773,2.4636221044312374
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.0581672892647154,0.5616141021076451,2.156561933574925
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.06711610299774853,0.5311219939593524,1.9735515257168812
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.07606491673078167,0.499501567869809,1.8223441371804194
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.0850137304638148,0.4711903494369933,1.6138328612650599
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.09396254419684794,0.4414145639829184,1.4551964745530244
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.10291135792988108,0.41549790914465395,1.370750856538862
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.11186017166291422,0.38948531573464995,1.272035298320372
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.12080898539594737,0.3646395875008525,1.2364126860704832
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.1297577991289805,0.34273084158902895,1.1330025291369004
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.13870661286201363,0.322249514973968,1.0370947245967488
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.14765542659504677,0.30238472281172113,0.9629052754032509
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.1566042403280799,0.28338764524891985,0.9323169336229146
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.16555305406111304,0.265777410127398,0.8894781032892523
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.17450186779414617,0.24716449387992095,0.8389828758391679
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.1834506815271793,0.23082845346035563,0.7518774076055101
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.19239949526021247,0.21553461248866151,0.7175842179836309
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.2013483089932456,0.2004436008430151,0.6701489867704329
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.21029712272627873,0.18674779959159798,0.6347631804640909
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.21924593645931187,0.17482297773620936,0.6186357894511683
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.228194750192345,0.1630919365874949,0.5704416831391628
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.23714356392537814,0.15302688410875157,0.5132484583098701
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.2460923776584113,0.14344676071059914,0.4923029555485656
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.25504119139144443,0.13568281330739126,0.46235981952230454
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.26399000512447757,0.12861384877373386,0.4291253798651055
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.2729388188575107,0.12231253855529563,0.41033846059592355
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.28188763259054384,0.11667817323809354,0.387695558017709
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.29083644632357697,0.11161526710979341,0.37905474342323503
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.2997852600566101,0.10634050579748178,0.3483416841755258
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.30873407378964324,0.10126728482615172,0.33523728804503833
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.31768288752267637,0.0962652595793365,0.3182790506327711
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.3266317012557095,0.09101746211855623,0.2949942742534621
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.33558051498874264,0.08591701765133702,0.27629182366083016
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.3445293287217758,0.08052688567811209,0.2719982513478119
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.3534781424548089,0.07518269179260628,0.25846034720945965
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.36242695618784204,0.06964767526846763,0.23606654527479262
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.37137576992087523,0.06430372733294056,0.2302325048027553
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.38032458365390837,0.05906542975324458,0.21813187050048607
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.3892733973869415,0.05401474195963956,0.2091061442563352
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.39822221111997463,0.04910380691325985,0.20168178832923664
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.40717102485300777,0.0445240218145928,0.18889047416761404
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.4161198385860409,0.0402797641105932,0.17795956863240864
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.42506865231907404,0.036240622333846534,0.1740168294026485
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.43401746605210717,0.03279180375516383,0.16951181303443313
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.4429662797851403,0.02961368450355045,0.1669379922377076
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.45191509351817344,0.026870645562054204,0.15628168043748192
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.4608639072512066,0.024444283204000126,0.1542544328066276
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.4698127209842397,0.022296279385007563,0.14503684839393738
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.47876153471727284,0.020486617069568797,0.13860562656479533
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.487710348450306,0.018974131127175466,0.1373050978293679
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.49665916218333916,0.017605560114872694,0.13979244189601467
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.5056079759163723,0.013344040426555893,0.1256367522582823
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.5145567896494054,0.010338711117179501,0.1173768433960509
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.5235056033824386,0.008218483226830855,0.11231659852475481
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.5324544171154717,0.0065691280093199845,0.10867708523421564
NGC 1380,outer,stpsf_R2023111002-NRCA3_FP1-1,0.5414032308485048,0.005258953859390482,0.10233523556451118
