galaxy,ring,variant,noise_model,psf_id,k,observed,predicted,residual,residual_sigma
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.0581672892647154,0.4561697948439523,0.4234535929252133,0.03271620191873903,9.733083663419567
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.06711610299774853,0.4249135933769346,0.39535198866065163,0.02956160471628294,9.85181541512918
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.07606491673078167,0.39577067139538064,0.3701671042357097,0.025603567159670937,10.028499214271264
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.0850137304638148,0.36225077374696457,0.3442722624409268,0.01797851130603778,8.062638479922049
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.09396254419684794,0.3297146235446169,0.3175787143403509,0.012135909204265993,6.316106653684729
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.10291135792988108,0.3057607483308152,0.2944420177355001,0.011318730595315074,6.61659772926109
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.11186017166291422,0.2734823364956995,0.27032389709828986,0.003158439397409618,2.193102029744959
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.12080898539594737,0.25574306612995273,0.25000923990106366,0.005733826228889072,4.307871979449099
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.1297577991289805,0.23413264108431736,0.23050609375847192,0.0036265473258454417,3.1089687439470945
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.13870661286201363,0.21231630910857993,0.21163664050233766,0.000679668606242273,0.6670434797565522
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.14765542659504677,0.19212008253216944,0.19549469340833786,-0.0033746108761684157,-3.7461434669564553
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.1566042403280799,0.17276372519993718,0.17820143174316033,-0.0054377065432231475,-6.88727103302182
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.16555305406111304,0.15519099410135145,0.1615049987460881,-0.006314004644736637,-9.295966478592405
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.17450186779414617,0.13865055067119897,0.14670566554624026,-0.008055114875041292,-13.578443508269208
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.1834506815271793,0.12672729566596747,0.13180262650474928,-0.005075330838781811,-9.54817245475841
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.19239949526021247,0.11304567908067305,0.11782927150792862,-0.0047835924272555674,-10.354397549210379
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.2013483089932456,0.1014888115524081,0.10475773386843816,-0.003268922316030057,-8.01236890907718
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.21029712272627873,0.09008341044901642,0.09272961870746006,-0.0026462082584436386,-7.471251721363396
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.21924593645931187,0.08037856856263406,0.08128403712004693,-0.0009054685574128724,-2.962088887873698
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.228194750192345,0.07092275423384681,0.07138872478432866,-0.00046597055048185065,-1.7318578355566039
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.23714356392537814,0.0645989980515969,0.06213195637276796,0.0024670416788289407,10.321383433860575
NGC 1380,outer,raw,constant,stpsf_field_1024_768,0.2460923776584113,0.05698950379948295,0.05406493151696011,0.0029245722825228387,14.254674771832365
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.04026966179864912,0.5463230342042937,0.3502793077293791,0.19604372647491464,39.99454708438151
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.04921847553168225,0.49794452437749165,0.3235258318961644,0.17441869248132724,42.9987224106065
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.0581672892647154,0.4561697948439523,0.30039659505468025,0.15577319978927207,46.34259165637259
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.06711610299774853,0.4249135933769346,0.28162576826093266,0.1432878251160019,47.75265814648445
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.07606491673078167,0.39577067139538064,0.2651784396469109,0.13059223174846973,51.150844931573644
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.0850137304638148,0.36225077374696457,0.24671350493652425,0.11553726881044032,51.81381336414174
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.09396254419684794,0.3297146235446169,0.22932864401536024,0.10038597952925665,52.24565729434736
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.10291135792988108,0.3057607483308152,0.21581456919127423,0.08994617913954095,52.579896626988436
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.11186017166291422,0.2734823364956995,0.20141412349377646,0.07206821300192301,50.04146805673584
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.12080898539594737,0.25574306612995273,0.19067700483303152,0.06506606129692122,48.884680331240496
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.1297577991289805,0.23413264108431736,0.17834113342569227,0.05579150765862509,47.82897833765722
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.13870661286201363,0.21231630910857993,0.16652743641195697,0.04578887269662296,44.938325379703976
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.14765542659504677,0.19212008253216944,0.15665149963510377,0.03546858289706567,39.373547048158954
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.1566042403280799,0.17276372519993718,0.14750358005544673,0.02526014514449046,31.99390488631533
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.16555305406111304,0.15519099410135145,0.13828154342388602,0.016909450677465437,24.89540244481193
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.17450186779414617,0.13865055067119897,0.12974042948867368,0.008910121182525294,15.01972088611987
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.1834506815271793,0.12672729566596747,0.12007725648490225,0.006650039181065215,12.510656536225213
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.19239949526021247,0.11304567908067305,0.11240494470777061,0.0006407343729024351,1.3869113059621818
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.2013483089932456,0.1014888115524081,0.10477792642109678,-0.0032891148686886723,-8.061862340084522
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.21029712272627873,0.09008341044901642,0.09800180793473792,-0.007918397485721498,-22.356645837252188
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.21924593645931187,0.08037856856263406,0.09206787093361891,-0.011689302370984853,-38.239596920980475
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.228194750192345,0.07092275423384681,0.0859342089520615,-0.01501145471821469,-55.79259343741695
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.23714356392537814,0.0645989980515969,0.07984159078339154,-0.015242592731794638,-63.77056596210725
NGC 1380,outer,raw,N(k),stpsf_field_1024_768,0.2460923776584113,0.05698950379948295,0.07537863203550704,-0.018389128236024094,-89.63055688810653
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.04026966179864912,0.5356571250446767,0.481753218013707,0.053903907030969644,11.221701618612965
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.04921847553168225,0.4872426749866713,0.44316707862718,0.044075596359491265,11.104914336537837
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.0581672892647154,0.4472345767707262,0.4156147348653251,0.031619841905401125,9.590853807210165
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.06711610299774853,0.4165286730117947,0.38913115932611725,0.027397513685677444,9.316840407082523
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.07606491673078167,0.3876198720198559,0.3616675960050205,0.025952276014835407,10.385986774854864
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.0850137304638148,0.35460826691641856,0.33707820755322626,0.017530059363192296,8.034970246002072
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.09396254419684794,0.32305677393659865,0.31121678598548225,0.011839987951116404,6.292267468423085
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.10291135792988108,0.29921427685392765,0.2887071686512283,0.010507108202699345,6.275670925331132
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.11186017166291422,0.26767551077328217,0.2661142249559556,0.0015612858173265631,1.1065047110270603
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.12080898539594737,0.2501430021330433,0.24453474880736248,0.005608253325680823,4.308643367539165
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.1297577991289805,0.22920161956245483,0.22550615542499314,0.0036954641374616903,3.23984946795885
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.13870661286201363,0.2076790838316879,0.2077173309227579,-3.82470910700039e-05,-0.03837816834957032
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.14765542659504677,0.1880465685848036,0.19046399044393675,-0.0024174218591331564,-2.7407772379906032
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.1566042403280799,0.16887379516599746,0.17396429366299088,-0.0050904984969934175,-6.591804294775772
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.16555305406111304,0.1516151478080548,0.15866912319344265,-0.007053975385387851,-10.635843401515507
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.17450186779414617,0.13562764288783807,0.142503085376454,-0.006875442488615935,-11.847280474885485
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.1834506815271793,0.12376167758080385,0.12831460229883065,-0.0045529247180268045,-8.776545023209898
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.19239949526021247,0.11017718119043254,0.11503130976003081,-0.0048541285695982705,-10.789067471843595
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.2013483089932456,0.09903857116406162,0.1019241823375236,-0.002885611173461977,-7.247768542283723
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.21029712272627873,0.08788178464575858,0.09002884911727224,-0.0021470644715136655,-6.21699950663126
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.21924593645931187,0.07824679437460187,0.07967168001427385,-0.0014248856396719828,-4.784416181031008
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.228194750192345,0.06900441580697939,0.06948281695158887,-0.00047840114460948047,-1.8290167752088002
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.23714356392537814,0.0629377345080203,0.060740929498922985,0.0021968050090973162,9.424940683831561
NGC 1380,outer,winsor_3.0,constant,stpsf_R2023111002-NRCA3_FP1-1,0.2460923776584113,0.0553988326607591,0.05242022171263275,0.002978610948126355,14.92463369819032
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.04026966179864912,0.5356571250446767,0.3275554110376677,0.20810171400700894,43.32256174987279
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.04921847553168225,0.4872426749866713,0.30436318346271746,0.18287949152395383,46.07676934689456
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.0581672892647154,0.4472345767707262,0.28754222925668393,0.15969234751404227,48.437495788863004
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.06711610299774853,0.4165286730117947,0.27172438252248804,0.14480429048930665,49.2423684947355
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.07606491673078167,0.3876198720198559,0.25544182784393804,0.13217804417591789,52.89707222412845
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.0850137304638148,0.35460826691641856,0.24063466517416413,0.11397360174225443,52.24023945700649
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.09396254419684794,0.32305677393659865,0.22525117834717245,0.0978055955894262,51.978006219090986
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.10291135792988108,0.29921427685392765,0.2120291709093829,0.08718510594454476,52.073798417487396
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.11186017166291422,0.26767551077328217,0.19871457885314742,0.06896093192013475,48.87355998474761
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.12080898539594737,0.2501430021330433,0.1861806710908954,0.06396233104214791,49.14023269154648
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.1297577991289805,0.22920161956245483,0.17490326931111136,0.05429835025134347,47.60389348378086
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.13870661286201363,0.2076790838316879,0.16436301493290176,0.04331606889878614,43.46451816156465
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.14765542659504677,0.1880465685848036,0.15419892443760272,0.03384764414720087,38.37511946364183
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.1566042403280799,0.16887379516599746,0.14460500348053507,0.024268791685462393,31.426219918488346
NGC 1380,outer,winsor_3.0,N(k),stpsf_R2023111002-NRCA3_FP1-1,0.16555305406111304,0.1516151478080548,0.13566618249355045,0.01594896531450435,24.04753181484825
