galaxy,ring,variant,k,Pk,Pk_error,Pk_count,E_median,E_mad,N_windowed
NGC 1380,inner,winsor_3.0,0.6039427829187174,0.0003538885316711796,3.0544910877313775e-06,14026,0.0005383449239698959,1.5325125307022835e-05,0.07479456709559562
NGC 1380,inner,winsor_3.0,0.612890083406402,0.00034224390511788396,3.0482350937752164e-06,12706,0.0003970716538004919,1.0432845726503546e-05,0.07175641497614457
NGC 1380,inner,winsor_3.0,0.6218373838940867,0.00032705179628165744,3.0722295727754397e-06,11278,0.00030810845556468756,8.176197610679535e-06,0.07071941228342532
NGC 1380,inner,winsor_3.0,0.6307846843817715,0.0003323673828045335,3.3083170247319733e-06,10078,0.0002524990814303458,4.301760531966509e-06,0.06943498393136066
NGC 1380,inner,winsor_3.0,0.6397319848694563,0.0003144787183401546,3.2697091853446856e-06,8766,0.00022097403697350854,2.9727089971155737e-06,0.07089333106164354
NGC 1380,inner,winsor_3.0,0.6486792853571408,0.00031019897901422253,3.497607474710924e-06,7526,0.00020265714430392785,3.197432399954872e-06,0.06716805809018728
NGC 1380,inner,winsor_3.0,0.6576265858448256,0.0003030550378923554,3.8949819155002845e-06,6332,0.00019491199441565326,1.7946311619994356e-06,0.06589860526702823
NGC 1380,inner,winsor_3.0,0.6665738863325104,0.0002896693499349256,4.108067937510403e-06,5106,0.00019141697967269773,2.7607009160633966e-06,0.0693031111731882
NGC 1380,inner,winsor_3.0,0.6755211868201949,0.00029861199920904445,4.871584245210121e-06,3996,0.0001891396433563655,3.7907019357457082e-06,0.06546594011744353
NGC 1380,inner,winsor_3.0,0.6844684873078797,0.0003129603893225197,5.822470505428614e-06,2778,0.00018699295293528873,1.9777093451049546e-06,0.06055386237466695
NGC 1380,inner,winsor_3.0,0.6934157877955645,0.00032546871137079466,7.778023807975555e-06,1734,0.0001859689229288293,4.193094615470923e-06,0.06239706286447422
NGC 1380,inner,winsor_3.0,0.702363088283249,0.0002612914880083039,1.0239819132849883e-05,576,0.00018882123501665974,4.384909637271044e-06,0.06384012164012325
NGC 1380,inner,winsor_3.5,0.004473650243842351,5.207125888521928,0.82917532049902,433,0.9222181259301659,0.008345614956539078,17.434711865100187
NGC 1380,inner,winsor_3.5,0.013420950731527052,0.8985560790588476,0.027082746194650408,1296,0.8384556173674605,0.0027725839571039962,8.4902442384271
NGC 1380,inner,winsor_3.5,0.02236825121921175,0.7424291062754975,0.015415033984393894,2148,0.7558986676118079,0.0016391256968593722,4.252685381328652
NGC 1380,inner,winsor_3.5,0.031315551706896455,0.6046648854927988,0.010722727895386029,3000,0.6928921800694946,0.005763675486481446,3.262787637196171
NGC 1380,inner,winsor_3.5,0.04026285219458116,0.5484639666923556,0.008873657094118222,3884,0.6462901116006565,0.005113979298614032,2.7927162286177243
NGC 1380,inner,winsor_3.5,0.04921015268226586,0.5343551934403997,0.007639156684023151,4760,0.6036247970714437,0.0009848154933658826,2.4904553534398395
NGC 1380,inner,winsor_3.5,0.05815745316995056,0.4726000754990659,0.006306375987300818,5552,0.5676471982475328,0.002157093420483482,2.1598008069547334
NGC 1380,inner,winsor_3.5,0.06710475365763527,0.4351840926661133,0.005257668780825002,6500,0.5390658699252711,0.0010333926011109197,1.976923896119913
NGC 1380,inner,winsor_3.5,0.07605205414531996,0.4078918796482843,0.004716224634144352,7312,0.5058058736718766,0.0006014850325559867,1.82950930675268
NGC 1380,inner,winsor_3.5,0.08499935463300468,0.3844833300510344,0.004407179428414757,8176,0.4761899089457948,0.0009904108268175404,1.608677164077931
NGC 1380,inner,winsor_3.5,0.09394665512068937,0.34974299554627314,0.00361070602489056,9032,0.44695905045652634,0.0028181230008161168,1.4527311152112203
NGC 1380,inner,winsor_3.5,0.10289395560837407,0.31476039772668085,0.0031761184253113425,9936,0.41831817634309326,0.0008821523226878672,1.3623809215343083
NGC 1380,inner,winsor_3.5,0.11184125609605877,0.27944671881495664,0.002740188425002269,10768,0.3919961745836834,0.001150955208883797,1.2658970426365237
NGC 1380,inner,winsor_3.5,0.12078855658374346,0.25669205499161907,0.0023857712257853558,11580,0.36786469478318706,0.002286055900400798,1.2388194412022493
NGC 1380,inner,winsor_3.5,0.12973585707142818,0.2455142466805486,0.002197579205445654,12520,0.3450100853933829,0.0011500782149046227,1.1399389639998119
NGC 1380,inner,winsor_3.5,0.13868315755911287,0.22550061951989467,0.0019752977327784594,13332,0.3240012680554853,0.000635469691062676,1.0385119196596484
NGC 1380,inner,winsor_3.5,0.14763045804679759,0.20256463731269975,0.0016889829743663843,14210,0.30508944187363835,0.0015183956560961347,0.9614880803403514
NGC 1380,inner,winsor_3.5,0.15657775853448228,0.1784508299112155,0.0014886993663081292,15074,0.2853302492122798,0.0015123668624186998,0.9362226915199618
NGC 1380,inner,winsor_3.5,0.16552505902216696,0.16094809236679017,0.0013218005249994698,15960,0.26621903339437797,0.001431843762493612,0.892502695885791
NGC 1380,inner,winsor_3.5,0.17447235950985168,0.1401702028777699,0.0010721052437797363,16796,0.2481473436497594,0.000715820339180358,0.8356946910905335
NGC 1380,inner,winsor_3.5,0.1834196599975364,0.12924234962716372,0.0009868260304805375,17600,0.23108134967731953,0.0024250054972059605,0.7503428527688251
NGC 1380,inner,winsor_3.5,0.1923669604852211,0.11211479835672129,0.0008266119571406713,18560,0.21669265217461145,0.0022859531927792564,0.7159905328326641
NGC 1380,inner,winsor_3.5,0.20131426097290578,0.10158730300853838,0.0007232671430323278,19368,0.20094693677283795,0.0011229682455175492,0.6673597728868198
