galaxy,ring,variant,noise_model,psf_id,n_fit,effective_kmin,kmax,P0,noise_coefficient,noise_coefficient_nonnegative,physical_solution,Pr,P_fluctuation,mbar_observed,mbar_sigma_formal,P0_sigma_formal,cov_P0_P0,cov_P0_Pnoise,cov_Pnoise_P0,cov_Pnoise_Pnoise,chi2,chi2_reduced,aicc,condition_number,template_correlation,covariance_correlation
NGC 1380,outer,winsor_3.0,N(k),stpsf_field_1280_1024,24,0.04,0.25,0.5617583756518102,-0.014726464604840325,False,False,0.0011913501973191,0.5605670254544911,28.628005647092795,1.1535403091993937,0.5955743734398264,0.3547088342982418,-0.10404150343318457,-0.10404150343318448,0.030566175361133905,48864.82103913982,2221.1282290518097,48869.392467711245,92.19822803452386,0.9825726157736523,-0.999194572995048
NGC 1380,outer,winsor_3.0,constant,stpsf_field_768_1024,24,0.04,0.25,0.8657117801230692,-0.0720540451299028,False,True,0.0011913501973191,0.8645204299257501,28.157636363750754,0.018674264672310537,0.014869434446693827,0.00022110008076452493,-4.080547341438977e-05,-4.080547341438976e-05,8.249466412719187e-06,1662.214643583248,75.55521107196581,1666.7860721546767,18.140859222742417,,-0.9554567674210477
NGC 1380,outer,winsor_3.0,N(k),stpsf_field_768_1024,24,0.04,0.25,0.5088075051093467,0.00014559867576479586,True,True,0.0011913501973191,0.5076161549120276,28.735735927947076,1.2756247019672171,0.5963950575523549,0.3556870646728767,-0.10478927719435156,-0.10478927719435156,0.030921628845120546,49212.73620953933,2236.942554979061,49217.30763811076,92.06288208491443,0.9823301419890139,-0.9991981643822426
NGC 1380,outer,winsor_3.0,constant,stpsf_field_1024_1280,24,0.04,0.25,0.8695283722613392,-0.07022765761912933,False,True,0.0011913501973191,0.8683370220640201,28.152853721117296,0.017376395550489553,0.013897084301319659,0.00019312895207798534,-3.5081115395856185e-05,-3.508111539585619e-05,6.995033090407844e-06,1440.458026046035,65.47536482027432,1445.0294546174637,18.194109564492642,,-0.9544535872393923
NGC 1380,outer,winsor_3.0,N(k),stpsf_field_1024_1280,24,0.04,0.25,0.7657393778554084,-0.07222311793840464,False,False,0.0011913501973191,0.7645480276580893,28.29106258498014,0.8376323617629025,0.5898395644189456,0.3479107117539314,-0.10098702977642579,-0.10098702977642585,0.029360775597115578,47223.22873712139,2146.510397141881,47227.80016569282,92.7318074573317,0.9827995164186428,-0.9991896732187205
NGC 1380,outer,winsor_3.0,constant,stpsf_field_1024_768,24,0.04,0.25,0.8646206823878135,-0.0726923107393888,False,True,0.0011913501973191,0.8634293321904944,28.159007519900676,0.019049328049030506,0.015148936292233293,0.00022949027078614302,-4.257679659963062e-05,-4.257679659963062e-05,8.646677229400432e-06,1729.1962957521473,78.59983162509761,1733.767724323576,18.12668577417499,,-0.9557982253646554
NGC 1380,outer,winsor_3.0,N(k),stpsf_field_1024_768,24,0.04,0.25,0.41802655983597,0.026288532696549207,True,True,0.0011913501973191,0.4168352096386509,28.949663525052458,1.5407836142449318,0.5915367453318551,0.349915721077804,-0.10359299036270003,-0.10359299036270003,0.030718906938537228,49712.42284560535,2259.655583891152,49716.99427417678,90.92400440113332,0.9825720360826362,-0.9991846721125219
NGC 1380,outer,winsor_3.5,constant,stpsf_R2023111002-NRCA3_FP1-1,24,0.04,0.25,0.8810549237901493,-0.07289429576924983,False,True,0.0011913501973191,0.8798635735928302,28.13853617003403,0.01840857380739885,0.014918019187297486,0.00022254729647257592,-4.0991274067627806e-05,-4.0991274067627806e-05,8.272004153788141e-06,1609.8460661780587,73.17482118991175,1614.4174947494873,18.157108779698174,,-0.9553772242865294
NGC 1380,outer,winsor_3.5,N(k),stpsf_R2023111002-NRCA3_FP1-1,24,0.04,0.25,0.5030683488257083,0.0049342020223115575,True,True,0.0011913501973191,0.5018769986283892,28.748081285367363,1.3071233794198853,0.6042122898963201,0.36507249126175484,-0.10727682480704029,-0.10727682480704032,0.031574088891619,48612.48831301621,2209.6585596825553,48617.05974158764,92.17235961290233,0.9826735174836987,-0.9991965879403422
NGC 1380,outer,winsor_3.5,constant,stpsf_field_1280_1024,24,0.04,0.25,0.8799907132519643,-0.07236017911914101,False,True,0.0011913501973191,0.8787993630546452,28.139850181977703,0.018473282176878984,0.014952350800705332,0.00022357279446735335,-4.109426370058177e-05,-4.1094263700581794e-05,8.280233933078785e-06,1621.1067329724472,73.68666968056579,1625.6781615438758,18.133094340380346,,-0.9551034692273768
NGC 1380,outer,winsor_3.5,N(k),stpsf_field_1280_1024,24,0.04,0.25,0.5652917737132982,-0.01305036532368349,False,False,0.0011913501973191,0.5641004235159791,28.621183451203883,1.1564577941484482,0.6008442277217984,0.3610137859866042,-0.10589268831551576,-0.10589268831551574,0.031110768189243795,48204.7846562831,2191.126575285595,48209.356084854524,92.01897101660207,0.9825726157736523,-0.9991914593703652
NGC 1380,outer,winsor_3.5,constant,stpsf_field_768_1024,24,0.04,0.25,0.8781879069293703,-0.07277807224209062,False,True,0.0011913501973191,0.8769965567320512,28.14207979506703,0.018559096975605795,0.014990993274732318,0.0002247298793630696,-4.149868153129362e-05,-4.149868153129362e-05,8.39669623042994e-06,1636.0977101574429,74.36807773442922,1640.6691387288715,18.1020041459583,,-0.9553217566384001
NGC 1380,outer,winsor_3.5,N(k),stpsf_field_768_1024,24,0.04,0.25,0.5118255366014872,0.001969431787243086,True,True,0.0011913501973191,0.5106341864041681,28.729299798204405,1.279262368413318,0.6016517601876652,0.36198484053691576,-0.10664637639806362,-0.10664637639806368,0.03147033045471353,48547.31383589048,2206.6960834495676,48551.88526446191,91.88140150391625,0.9823301419890139,-0.9991950191209024
