region,expectation_method,k,E_median,E_psf_mad
circular_outer_lit,window_only,0.0850137304638148,0.4716308077286541,0.0010299580574678047
circular_outer_lit,window_only,0.09396254419684794,0.4421481572323959,0.0010876335838030974
circular_outer_lit,window_only,0.10291135792988108,0.41549790344884013,0.00123485673636442
circular_outer_lit,window_only,0.11186017166291422,0.38948530993144165,0.0008094304912492231
circular_outer_lit,window_only,0.12080898539594737,0.3646395816168429,0.001228718655284593
circular_outer_lit,window_only,0.1297577991289805,0.34273083563614226,0.001700286169908939
circular_outer_lit,window_only,0.13870661286201363,0.3222495089679865,0.0007805455977548841
circular_outer_lit,window_only,0.14765542659504677,0.3025888328161274,0.0010466009983356127
circular_outer_lit,window_only,0.1566042403280799,0.28338763917139426,0.0015948697221882533
circular_outer_lit,window_only,0.16555305406111304,0.26577740399459665,0.0012973702210855261
circular_outer_lit,window_only,0.17450186779414617,0.247573232119842,0.0008448711184858225
circular_outer_lit,window_only,0.1834506815271793,0.2308284473221085,0.0007250645477732901
circular_outer_lit,window_only,0.19239949526021247,0.21553460636037036,0.0008402096149005868
circular_outer_lit,window_only,0.2013483089932456,0.20044359477009213,0.0012008502172720747
circular_outer_lit,window_only,0.21029712272627873,0.18681732870534118,0.0012237028075210677
circular_outer_lit,window_only,0.21924593645931187,0.17482297176950104,0.0011816807342690996
circular_outer_lit,window_only,0.228194750192345,0.16309193070652778,0.0005185968861962829
circular_outer_lit,window_only,0.23714356392537814,0.15302687828974287,0.00110545217441431
circular_outer_lit,window_only,0.2460923776584113,0.14344675498226614,0.00043837635492116053
circular_outer_lit,window_only,0.25504119139144443,0.1356828076444232,0.00046282603013930425
circular_outer_lit,window_only,0.26399000512447757,0.12861384318500876,0.00029915141642576637
circular_outer_lit,window_only,0.2729388188575107,0.12231253304485552,0.00070869380115299
circular_outer_lit,window_only,0.28188763259054384,0.11667816780500566,0.000598625385742667
circular_outer_lit,window_only,0.29083644632357697,0.11161526175107925,0.0005418704444037227
circular_outer_lit,window_only,0.2997852600566101,0.1063405005388843,0.0005728202157547421
circular_outer_lit,window_only,0.30873407378964324,0.10126727966858029,0.000788210971584495
circular_outer_lit,window_only,0.31768288752267637,0.09626525452142771,0.0003405811321695337
circular_outer_lit,window_only,0.3266317012557095,0.0910174571817373,0.0006534181155465564
circular_outer_lit,window_only,0.33558051498874264,0.08591701283209774,0.0003907810974183434
circular_outer_lit,window_only,0.3445293287217758,0.08052688099070625,0.0006413914560664425
circular_outer_lit,window_only,0.3534781424548089,0.07518268723206899,0.000376067186370019
circular_outer_lit,window_only,0.36242695618784204,0.06964767085122099,0.0004549419137330363
circular_outer_lit,window_only,0.37137576992087523,0.06430372305272451,0.000397898426914782
circular_outer_lit,window_only,0.38032458365390837,0.059065425617115426,0.00043857835580337614
circular_outer_lit,window_only,0.3892733973869415,0.054014737971679515,0.0003760771846003497
