galaxy,tile,y0,x0,size,valid_fraction,median_wht,wht_ratio_to_outer_ring,wht_relative_mad,median_ERR,standardized_sigma,plane_0,plane_x,plane_y,accepted,selected,selection_mode
NGC 3379,y1120_x8800,1120,8800,512,0.004364013671875,860.5020446777344,0.9741202995393567,0.0010965072901018907,0.047040071338415146,2.400069025503314,1.5140573307025635,-0.0006457121885380926,0.0015046686157021887,False,False,nominal_0.80
NGC 3379,y1632_x96,1632,96,512,0.7230682373046875,869.3783264160156,0.9841685803995475,0.002364173302463031,0.030555162578821182,0.7969732088242917,0.42888152676272134,3.256342647239587e-06,-2.1064357520889738e-05,False,False,nominal_0.80
NGC 3379,y1632_x608,1632,608,512,0.66949462890625,869.2703552246094,0.9840463529975735,0.0023514545002429584,0.030283352360129356,0.8517216964217844,0.42605974110233463,2.1957569847409423e-05,2.0604944227691083e-06,False,False,nominal_0.80
NGC 3379,y1632_x1120,1632,1120,512,0.6598892211914062,868.6006164550781,0.9832881838161938,0.0023931685012861747,0.03013666160404682,0.8717519780076868,0.4439913126242502,3.938833168567363e-05,-5.023294153606885e-05,False,False,nominal_0.80
NGC 3379,y1632_x1632,1632,1632,512,0.5269432067871094,867.4197998046875,0.9819514554768551,0.0025021563761847016,0.029833069071173668,0.877961234083462,0.44753191487750155,3.320463988841135e-05,-6.342548002793126e-06,False,False,nominal_0.80
NGC 3379,y1632_x2144,1632,2144,512,0.5228500366210938,865.2823181152344,0.9795317467539435,0.002611086659948406,0.029490046203136444,0.9693738832698582,0.44803430995384946,6.928061804859323e-05,2.1885971164873738e-05,False,False,nominal_0.80
NGC 3379,y1632_x2656,1632,2656,512,0.5445938110351562,863.315185546875,0.9773048795680073,0.0025223334263726623,0.029960040003061295,0.9876789918721258,0.47947591173883475,4.551327325569595e-05,1.7140815707005683e-05,False,False,nominal_0.80
NGC 3379,y1632_x3168,1632,3168,512,0.4840850830078125,860.3722534179688,0.9739733710089454,0.002571716947215869,0.030340059660375118,1.0571229261003872,0.4940434359544082,6.4133616226662e-05,1.537839741761533e-05,False,False,nominal_0.80
NGC 3379,y1632_x3680,1632,3680,512,0.41983795166015625,856.7918701171875,0.9699202440291845,0.002686495223782737,0.03195364400744438,1.1354264788851334,0.5306715006380485,7.411554972361714e-05,7.835958388884962e-06,False,False,nominal_0.80
NGC 3379,y1632_x4192,1632,4192,512,0.050220489501953125,852.9774780273438,0.9656022104020701,0.006516883206466778,0.03356166556477547,1.0956659911658875,0.573272298453208,-5.204915212847705e-05,2.6452629105293223e-05,False,False,nominal_0.80
NGC 3379,y1632_x5216,1632,5216,512,0.02922821044921875,854.5691833496094,0.9674040799907524,0.004620688992916816,0.03540118969976902,1.6487634497322863,0.7011184114466205,0.00023552350831125774,0.00010851979002956504,False,False,nominal_0.80
NGC 3379,y1632_x5728,1632,5728,512,0.043071746826171875,857.333740234375,0.9705336611432179,0.002599988623545871,0.03635553643107414,1.8977583469558927,0.7853825095168723,0.0005930700566055871,0.00024642165052884957,False,False,nominal_0.80
NGC 3379,y1632_x6240,1632,6240,512,0.006900787353515625,860.7276611328125,0.9743757057526959,0.002519297665138154,0.041300639510154724,2.323988651948478,1.0086620280763612,0.001002120420789425,0.0005266636926631284,False,False,nominal_0.80
NGC 3379,y2144_x96,2144,96,512,0.7684745788574219,876.2667846679688,0.9919665711855775,0.0022026130138739566,0.03236815705895424,0.7972268848506194,0.4495102072847276,1.3027852965095403e-05,-5.016814782400682e-05,False,False,nominal_0.80
