galaxy,k,relative_power
NGC 4406,0.035,3.139999027015847
NGC 4406,0.045,3.074923921054243
NGC 4406,0.05500000000000001,2.648247453696258
NGC 4406,0.065,2.9890466511341565
NGC 4406,0.075,2.1780557928657025
NGC 4406,0.08499999999999999,1.887992439367219
NGC 4406,0.095,1.7726681681580627
NGC 4406,0.105,1.6227531429882076
NGC 4406,0.11499999999999999,1.4876046185359155
NGC 4406,0.125,1.25600793416311
NGC 4406,0.135,1.2395791367991238
NGC 4406,0.14500000000000002,1.0
NGC 4406,0.15500000000000003,0.8729764198094813
NGC 4406,0.165,0.8604347292582835
NGC 4406,0.17500000000000002,0.6821958360149555
NGC 4406,0.185,0.5845274032378256
NGC 4406,0.195,0.541956133694297
NGC 4406,0.20500000000000002,0.5201731715485985
NGC 4406,0.21500000000000002,0.4056194515285823
NGC 4406,0.225,0.3321188252159935
NGC 4406,0.23500000000000001,0.30346623994203004
NGC 4406,0.245,0.28550785555291947
NGC 4406,0.255,0.25651091753370336
NGC 4406,0.265,0.22790220284845003
NGC 4406,0.275,0.2051513673285973
NGC 4406,0.28500000000000003,0.18113517376690383
NGC 4406,0.29500000000000004,0.15188350234978423
NGC 4406,0.305,0.14852499084179366
NGC 4406,0.315,0.12801518299877765
NGC 4406,0.325,0.11488265758375758
NGC 4406,0.335,0.09491269086626157
NGC 4406,0.34500000000000003,0.08390726546440483
NGC 4406,0.35500000000000004,0.0719198402113822
NGC 4406,0.365,0.06561913447293333
NGC 4406,0.375,0.054094307489070986
NGC 4406,0.385,0.046317191744366853
NGC 4406,0.395,0.040185954519420954
NGC 4406,0.405,0.037114371478112945
NGC 4406,0.41500000000000004,0.03172090911556234
NGC 4406,0.42500000000000004,0.027525580625792002
NGC 4406,0.435,0.02517992092054557
NGC 4406,0.445,0.02209698462937582
NGC 4472,0.015,6.261040056406796
NGC 4472,0.025,4.0619186185142295
NGC 4472,0.035,4.562715390588452
NGC 4472,0.045,3.497382506381286
NGC 4472,0.05500000000000001,2.5619752545138867
NGC 4472,0.065,2.3336790677283745
NGC 4472,0.075,2.2453211860762887
NGC 4472,0.08499999999999999,2.0567362761920607
NGC 4472,0.095,1.974858892189595
NGC 4472,0.105,1.6152277997650974
NGC 4472,0.11499999999999999,1.6570909184245712
NGC 4472,0.125,1.3560321538544067
NGC 4472,0.135,1.2079040659741256
NGC 4472,0.14500000000000002,1.0
NGC 4472,0.15500000000000003,0.9419302795465223
NGC 4472,0.165,0.7203262305769529
NGC 4472,0.17500000000000002,0.7690177838965768
NGC 4472,0.185,0.6313511194342384
NGC 4472,0.195,0.5783394855981786
NGC 4472,0.20500000000000002,0.545383224948674
NGC 4472,0.21500000000000002,0.467552224209212
NGC 4472,0.225,0.3998689326059175
NGC 4472,0.23500000000000001,0.359497094132827
NGC 4472,0.245,0.312489453471461
NGC 4472,0.255,0.27345485029252325
NGC 4472,0.265,0.2517283577516252
NGC 4472,0.275,0.20536676702140072
NGC 4472,0.28500000000000003,0.193536784537443
NGC 4472,0.29500000000000004,0.16425246906770632
NGC 4472,0.305,0.14390357051269198
NGC 4472,0.315,0.1245114304673006
NGC 4472,0.325,0.11778156173030976
NGC 4472,0.335,0.09814172498333058
NGC 4472,0.34500000000000003,0.0840008436812992
NGC 4472,0.35500000000000004,0.07732556998583548
NGC 4472,0.365,0.07054202012606148
NGC 4472,0.375,0.05282302588693139
NGC 4472,0.385,0.04681836408637262
NGC 4472,0.395,0.039426413613362035
NGC 4472,0.405,0.03467865114798602
NGC 4472,0.41500000000000004,0.030272963179813775
NGC 4472,0.42500000000000004,0.026861908456534044
NGC 4472,0.435,0.02421007752740034
NGC 4472,0.445,0.02077820406074663
NGC 4486,0.015,4.981143257214245
NGC 4486,0.025,3.598842580385046
NGC 4486,0.035,3.233108499426465
NGC 4486,0.045,2.3374393245014136
NGC 4486,0.05500000000000001,2.49773889391749
NGC 4486,0.065,2.613147988213765
NGC 4486,0.075,2.0568116949322524
NGC 4486,0.08499999999999999,2.0868008598580206
NGC 4486,0.095,1.6771807344998502
NGC 4486,0.105,1.359484363578355
NGC 4486,0.11499999999999999,1.2712594118979494
NGC 4486,0.125,1.2567375735455808
NGC 4486,0.135,1.0
NGC 4486,0.14500000000000002,0.9204020720763715
NGC 4486,0.15500000000000003,1.0275961172663106
NGC 4486,0.165,0.763578355890064
NGC 4486,0.17500000000000002,0.7132169081059168
NGC 4486,0.185,0.6338624241434108
NGC 4486,0.195,0.5218851942169604
NGC 4486,0.20500000000000002,0.5056622780862021
NGC 4486,0.21500000000000002,0.46413213788859503
NGC 4486,0.225,0.4094001522967312
NGC 4486,0.23500000000000001,0.3307479115371837
NGC 4486,0.245,0.2715421585729123
NGC 4486,0.255,0.24172875027993515
NGC 4486,0.265,0.23875301488024273
NGC 4486,0.275,0.1968738652120317
NGC 4486,0.28500000000000003,0.17926589489995434
NGC 4486,0.29500000000000004,0.17148861865395054
NGC 4486,0.305,0.14614309658776167
NGC 4486,0.315,0.13554386162404636
NGC 4486,0.325,0.1116121930757161
NGC 4486,0.335,0.10244256885589396
NGC 4486,0.34500000000000003,0.09161281259102245
NGC 4486,0.35500000000000004,0.07306550214627627
NGC 4486,0.365,0.06454516738335224
NGC 4486,0.375,0.0565775491921548
NGC 4486,0.385,0.046470863669727414
NGC 4486,0.395,0.04169966493311355
NGC 4486,0.405,0.03635423290371145
NGC 4486,0.41500000000000004,0.03201035633634481
