model,n,n_parameters,color_center,intercept,slope,curvature,slope_change,sigma_int,log_likelihood,aic,aicc,use_color_errors,color_error_column,use_extinction_covariance,use_shared_anchor_covariance
constant,14,2,0.567460681637547,-3.191328648563198,0.0,,,0.09999128300392357,11.726711988268248,-19.453423976536495,-18.362514885627405,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.207663780908715,0.0,,,0.07987936854005764,14.502911715652013,-25.005823431304027,-23.914914340394937,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2242963046031057,0.0,,,0.09680169495269485,12.12434023951518,-20.24868047903036,-19.15777138812127,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.224728147420653,0.0,,,0.06985671347218265,16.132414387179445,-28.26482877435889,-27.1739196834498,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.252036568378195,0.0,,,0.05970491536767559,17.826214337603588,-31.652428675207176,-30.561519584298086,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1914615815875553,0.0,,,0.0763393911546523,15.072284387810702,-26.144568775621405,-25.053659684712315,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.184882211796416,0.0,,,0.09106584373468364,12.954867645759805,-21.90973529151961,-20.81882620061052,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2083588975565958,0.0,,,0.0824561945706102,14.163733839931318,-24.327467679862636,-23.236558588953546,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2040665869449048,0.0,,,0.08447626975190367,13.869684356401567,-23.739368712803135,-22.648459621894045,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2218937264404284,0.0,,,0.07311516948534554,15.578881239711075,-27.15776247942215,-26.06685338851306,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2099798159202244,0.0,,,0.061294524487001935,17.470500894685504,-30.941001789371008,-29.850092698461918,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.181901407226353,0.0,,,0.056717783645354305,18.384682284466315,-32.76936456893263,-31.67845547802354,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2002246508736736,0.0,,,0.08483469535718215,13.711800147042299,-23.423600294084597,-22.332691203175507,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.206003823330248,0.0,,,0.08480812449813747,13.728342359091338,-23.456684718182675,-22.365775627273585,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1807871074296177,0.0,,,0.08199347088558882,14.192343246757025,-24.38468649351405,-23.29377740260496,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.216911277019185,0.0,,,0.09189833111914095,12.759505086464145,-21.51901017292829,-20.4281010820192,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2011980608665556,0.0,,,0.07211502898706348,15.867866320899267,-27.735732641798535,-26.644823550889445,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.230730999795594,0.0,,,0.08593431500856434,13.58481465658622,-23.16962931317244,-22.07872022226335,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.211047956059013,0.0,,,0.06983542855942144,16.22584655221173,-28.451693104423462,-27.360784013514373,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2199733929959793,0.0,,,0.07527774508878798,15.183868027039786,-26.36773605407957,-25.276826963170482,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1859608159248163,0.0,,,0.0913317761626507,12.864082339191551,-21.728164678383102,-20.637255587474012,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.243034267706056,0.0,,,0.08207893732328038,14.17810502542212,-24.35621005084424,-23.26530095993515,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.186588189013152,0.0,,,0.0832798265945571,14.026545552171092,-24.053091104342183,-22.962182013433093,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.2284068657399145,0.0,,,0.08301615637137243,14.061456614105374,-24.12291322821075,-23.03200413730166,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1900908369664993,0.0,,,0.07606404138067718,15.023392587235783,-26.046785174471566,-24.955876083562476,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.201072722442598,0.0,,,0.09028867678840219,13.040314981843625,-22.08062996368725,-20.98972087277816,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1969306203619445,0.0,,,0.08683356447302212,13.514990941346424,-23.029981882692848,-21.939072791783758,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.1979943001038533,0.0,,,0.08619849910552797,13.639231084453256,-23.27846216890651,-22.18755307799742,True,sigma_color_stat_mag,True,False
constant,14,2,0.567460681637547,-3.226749224824787,0.0,,,0.09934863459135798,11.818726882143022,-19.637453764286043,-18.546544673376953,True,sigma_color_stat_mag,True,False
