model,n,n_parameters,color_center,intercept,slope,curvature,slope_change,sigma_int,log_likelihood,aic,aicc,use_color_errors,color_error_column,use_extinction_covariance
constant,14,2,0.5674536233634047,-3.1403768611556866,0.0,,,0.060694140927032104,17.7338153339589,-31.467630667917803,-30.376721577008713,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1587880591663304,0.0,,,0.08345130700731082,13.93669643348663,-23.87339286697326,-22.78248377606417,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1629078806908346,0.0,,,0.09098454930101847,12.880132626728853,-21.760265253457707,-20.669356162548617,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1395744712331783,0.0,,,0.09240837343896659,12.725274671129329,-21.450549342258658,-20.359640251349568,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1813576148427978,0.0,,,0.09787442154147007,11.969758158524773,-19.939516317049545,-18.848607226140455,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.162739920358671,0.0,,,0.08041660435480633,14.53870627752385,-25.0774125550477,-23.98650346413861,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1889794683858512,0.0,,,0.09433448043141762,12.43641479846633,-20.87282959693266,-19.78192050602357,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1771157865146464,0.0,,,0.07430257424113441,15.472125474816405,-26.94425094963281,-25.85334185872372,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.177611344291703,0.0,,,0.08591230967150029,13.59749409652728,-23.19498819305456,-22.10407910214547,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.157705075400657,0.0,,,0.09793557401084464,11.988657741818088,-19.977315483636175,-18.886406392727086,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.2058732708693864,0.0,,,0.07911403997188113,14.598738793115714,-25.19747758623143,-24.10656849532234,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1510729670423485,0.0,,,0.08516745301245159,13.78118086698508,-23.56236173397016,-22.47145264306107,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.198332237831266,0.0,,,0.08852677176068212,13.274350275109263,-22.548700550218527,-21.457791459309437,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1516057865948643,0.0,,,0.09086396128783765,12.903993209872292,-21.807986419744584,-20.717077328835494,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.171834362000234,0.0,,,0.0905480355549249,13.01288838908839,-22.02577677817678,-20.93486768726769,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1690834655207705,0.0,,,0.0872341789983394,13.453184707942144,-22.90636941588429,-21.8154603249752,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1674690994500176,0.0,,,0.08170277957303748,14.303115198963248,-24.606230397926495,-23.515321307017405,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1954405218868565,0.0,,,0.1054080652856791,11.063204325064131,-18.126408650128262,-17.035499559219172,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1713621296852077,0.0,,,0.08087170014347626,14.419240837149246,-24.838481674298492,-23.747572583389402,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1634486448309973,0.0,,,0.07495577207918384,15.28637164053926,-26.57274328107852,-25.48183419016943,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.19087615274835,0.0,,,0.09567127619096187,12.29970819647951,-20.59941639295902,-19.50850730204993,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1713932803445664,0.0,,,0.07127401719558092,15.960257088812526,-27.92051417762505,-26.82960508671596,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.19681015197204,0.0,,,0.0746712430897492,15.378466097633,-26.756932195266,-25.66602310435691,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.193836601027773,0.0,,,0.07059051175017925,15.935919536189184,-27.871839072378368,-26.780929981469278,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.18289027165996,0.0,,,0.09984520443025936,11.713264213239539,-19.426528426479077,-18.335619335569987,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.2210736827945676,0.0,,,0.0770921750600944,14.933997685150862,-25.867995370301724,-24.777086279392634,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.132481202616813,0.0,,,0.09232358525979753,12.740406284038265,-21.48081256807653,-20.38990347716744,True,sigma_color_stat_mag,True
constant,14,2,0.5674536233634047,-3.1557134628250547,0.0,,,0.06943126227625791,16.176527566663804,-28.353055133327608,-27.262146042418518,True,sigma_color_stat_mag,True
