target_name,proposal_id,target_classification,proposal_pi,obs_title,dataurls_F090W,dataurls_F150W,obsids_F090W,obsids_F150W
Pegasus-W,7119,Galaxy; Dwarf galaxies,"Sand, David J.",Does Reionization Quench All Ultra-faint Dwarf Galaxies? The Ancient Star Formation History of Pegasus W,mast:JWST/product/jw07119-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw07119-o001_t001_nircam_clear-f150w_i2d.fits,jw07119-o001_t001_nircam_clear-f090w,jw07119-o001_t001_nircam_clear-f150w
REBELS-25,6036,Galaxy; Disk galaxies; High-redshift galaxies; Ultraluminous infrared galaxies,"Hodge, Jacqueline",JWST+ALMA reveals the earliest-known thin disk galaxy,mast:JWST/product/jw06036-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw06036-o001_t001_nircam_clear-f150w_i2d.fits,jw06036-o001_t001_nircam_clear-f090w,jw06036-o001_t001_nircam_clear-f150w
RM032,2057,Galaxy; Quasars,"Shen, Yue",A JWST Study of the Link Between Supermassive Black Holes and Galaxies at Cosmic Noon,mast:JWST/product/jw02057-o001_t001_nircam_clear-f090w-sub640_i2d.fits,mast:JWST/product/jw02057-o001_t001_nircam_clear-f150w-sub640_i2d.fits,jw02057-o001_t001_nircam_clear-f090w-sub640,jw02057-o001_t001_nircam_clear-f150w-sub640
RM052,2057,Galaxy; Quasars,"Shen, Yue",A JWST Study of the Link Between Supermassive Black Holes and Galaxies at Cosmic Noon,mast:JWST/product/jw02057-o003_t002_nircam_clear-f090w-sub640_i2d.fits,mast:JWST/product/jw02057-o003_t002_nircam_clear-f150w-sub640_i2d.fits,jw02057-o003_t002_nircam_clear-f090w-sub640,jw02057-o003_t002_nircam_clear-f150w-sub640
RM275,2057,Galaxy; Quasars,"Shen, Yue",A JWST Study of the Link Between Supermassive Black Holes and Galaxies at Cosmic Noon,mast:JWST/product/jw02057-o005_t003_nircam_clear-f090w-sub640_i2d.fits,mast:JWST/product/jw02057-o005_t003_nircam_clear-f150w-sub640_i2d.fits,jw02057-o005_t003_nircam_clear-f090w-sub640,jw02057-o005_t003_nircam_clear-f150w-sub640
RM312,2057,Galaxy; Quasars,"Shen, Yue",A JWST Study of the Link Between Supermassive Black Holes and Galaxies at Cosmic Noon,mast:JWST/product/jw02057-o007_t004_nircam_clear-f090w-sub640_i2d.fits,mast:JWST/product/jw02057-o007_t004_nircam_clear-f150w-sub640_i2d.fits,jw02057-o007_t004_nircam_clear-f090w-sub640,jw02057-o007_t004_nircam_clear-f150w-sub640
RM332,2057,Galaxy; Quasars,"Shen, Yue",A JWST Study of the Link Between Supermassive Black Holes and Galaxies at Cosmic Noon,mast:JWST/product/jw02057-o009_t005_nircam_clear-f090w-sub640_i2d.fits,mast:JWST/product/jw02057-o009_t005_nircam_clear-f150w-sub640_i2d.fits,jw02057-o009_t005_nircam_clear-f090w-sub640,jw02057-o009_t005_nircam_clear-f150w-sub640
RM387,2057,Galaxy; Quasars,"Shen, Yue",A JWST Study of the Link Between Supermassive Black Holes and Galaxies at Cosmic Noon,mast:JWST/product/jw02057-o011_t006_nircam_clear-f090w-sub640_i2d.fits,mast:JWST/product/jw02057-o011_t006_nircam_clear-f150w-sub640_i2d.fits,jw02057-o011_t006_nircam_clear-f090w-sub640,jw02057-o011_t006_nircam_clear-f150w-sub640
RM401,2057,Galaxy; Quasars,"Shen, Yue",A JWST Study of the Link Between Supermassive Black Holes and Galaxies at Cosmic Noon,mast:JWST/product/jw02057-o013_t007_nircam_clear-f090w-sub640_i2d.fits,mast:JWST/product/jw02057-o013_t007_nircam_clear-f150w-sub640_i2d.fits,jw02057-o013_t007_nircam_clear-f090w-sub640,jw02057-o013_t007_nircam_clear-f150w-sub640
RM470,2057,Galaxy; Quasars,"Shen, Yue",A JWST Study of the Link Between Supermassive Black Holes and Galaxies at Cosmic Noon,mast:JWST/product/jw02057-o015_t008_nircam_clear-f090w-sub640_i2d.fits,mast:JWST/product/jw02057-o015_t008_nircam_clear-f150w-sub640_i2d.fits,jw02057-o015_t008_nircam_clear-f090w-sub640,jw02057-o015_t008_nircam_clear-f150w-sub640
RM549,2057,Galaxy; Quasars,"Shen, Yue",A JWST Study of the Link Between Supermassive Black Holes and Galaxies at Cosmic Noon,mast:JWST/product/jw02057-o017_t009_nircam_clear-f090w-sub640_i2d.fits,mast:JWST/product/jw02057-o017_t009_nircam_clear-f150w-sub640_i2d.fits,jw02057-o017_t009_nircam_clear-f090w-sub640,jw02057-o017_t009_nircam_clear-f150w-sub640
RM734,2057,Galaxy; Quasars,"Shen, Yue",A JWST Study of the Link Between Supermassive Black Holes and Galaxies at Cosmic Noon,mast:JWST/product/jw02057-o019_t010_nircam_clear-f090w-sub640_i2d.fits,mast:JWST/product/jw02057-o019_t010_nircam_clear-f150w-sub640_i2d.fits,jw02057-o019_t010_nircam_clear-f090w-sub640,jw02057-o019_t010_nircam_clear-f150w-sub640
SEXA-NRC-POS1,1619,Galaxy; Dwarf irregular galaxies,"Boyer, Martha L.",Dust Formation in a Primitive Environment,mast:JWST/product/jw01619-o015_t040_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01619-o015_t040_nircam_clear-f150w_i2d.fits,jw01619-o015_t040_nircam_clear-f090w,jw01619-o015_t040_nircam_clear-f150w
SEXA-NRC-POS2,1619,Galaxy; Dwarf irregular galaxies,"Boyer, Martha L.",Dust Formation in a Primitive Environment,mast:JWST/product/jw01619-o014_t041_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01619-o014_t041_nircam_clear-f150w_i2d.fits,jw01619-o014_t041_nircam_clear-f090w,jw01619-o014_t041_nircam_clear-f150w
SUPER8-1,6480,Galaxy; High-redshift galaxies,"Schouws, Sander",Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o021_t021_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw06480-o021_t021_nircam_clear-f150w_i2d.fits,jw06480-o021_t021_nircam_clear-f090w,jw06480-o021_t021_nircam_clear-f150w
TUCANAB,4748,Galaxy; Dwarf spheroidal galaxies,"Sand, David J.","The Ancient Star Formation History of the Isolated, Quenched Ultra-faint Dwarf Galaxy Tucana B",mast:JWST/product/jw04748-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw04748-o001_t001_nircam_clear-f150w_i2d.fits,jw04748-o001_t001_nircam_clear-f090w,jw04748-o001_t001_nircam_clear-f150w
UDS-1,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-c1002_t000_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01837-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-c1002_t000_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01837-o001_t001_nircam_clear-f150w_i2d.fits,jw01837-c1002_t000_nircam_clear-f090w;jw01837-o001_t001_nircam_clear-f090w,jw01837-c1002_t000_nircam_clear-f150w;jw01837-o001_t001_nircam_clear-f150w
UDS-1-TILE-13,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-o008_t010_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-o008_t010_nircam_clear-f150w_i2d.fits,jw01837-o008_t010_nircam_clear-f090w,jw01837-o008_t010_nircam_clear-f150w
UDS-1-TILE-17,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-o024_t028_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-o024_t028_nircam_clear-f150w_i2d.fits,jw01837-o024_t028_nircam_clear-f090w,jw01837-o024_t028_nircam_clear-f150w
UDS-1-TILE-19,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-o025_t029_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-o025_t029_nircam_clear-f150w_i2d.fits,jw01837-o025_t029_nircam_clear-f090w,jw01837-o025_t029_nircam_clear-f150w
